listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags
sale,3 Bedroom House,6700000,3,2,341 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/116958962,,,"Located in a quiet position within Val de Vie Estate with beautiful views towards the mountains and nearby dam, this neat three-bedroom ...",,https://images.prop24.com/374556137/Crop600x400,9500,114000,1.7,False,
sale,1 Bedroom Apartment,780000,1,1,40 m²,Esterville,Esterville,Paarl,https://www.property24.com/for-sale/esterville/paarl/western-cape/16386/116950305,,,"Sole Mandate.
The apartment is an ideal choice for a student at Akademia Paarl campus. 
The central location provides easy access to ...",,https://images.prop24.com/310646377/Ensure264x153,7000,84000,10.77,True,mandate
sale,2 Bedroom Apartment,6700000,2,2,104 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/116979979,,,"Val de Vie Properties exclusively presents this beautifully appointed two-bedroom Ambrosia apartment, ideally positioned on the ground ...",,https://images.prop24.com/234072693/Ensure264x153,9500,114000,1.7,False,
sale,3 Bedroom Townhouse,9500000,3,3,220 m²,Pearl Valley Golf & Country Estate,Pearl Valley Golf & Country Estate,Paarl,https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/116940280,,,"Exclusive Mandate.

This beautifully renovated 3-bedroom triplex offers a luxurious lifestyle, nestled beside one of the estate's ...",,https://images.prop24.com/363879363/Ensure264x153,9500,114000,1.2,False,
sale,3 Bedroom House,5200000,3,2,610 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117008271,,,"RARE OPPORTUNITY | WILDE PAARDE COUNTRY ESTATE – PAARL
Homes with this erf size (610m²) is rare in newer Paarl estates and rarely ...",,,9500,114000,2.19,False,
sale,3 Bedroom House,7650000,3,3,340 m²,"6 Drakenzicht Estate, 851 Lustigan Road",Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116899684,,,"3 Bedroom Designer Home with Pool & Solar – Drakenzicht Estate, Paarl South

This ...",,https://images.prop24.com/353500467/Ensure264x153,9500,114000,1.49,False,
sale,3 Bedroom Apartment,3228000,3,2,130 m²,Honeydew Country Estate,Honeydew Country Estate,Paarl,https://www.property24.com/for-sale/honeydew-country-estate/paarl/western-cape/33199/117035316,,,"Located in the popular Honeydew Country Estate, this spacious 3-bedroom apartment in Honeydew Country Estate (known as Oak Lodge) ...",,https://images.prop24.com/72874115/Ensure264x153,9500,114000,3.53,False,
sale,2 Bedroom Apartment,7950000,2,2,104 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/116979952,,,"Positioned within Polo Village II on Val de Vie Estate, this beautifully curated north-facing Ambrosia apartment presents a rare ...",,https://images.prop24.com/234072693/Ensure264x153,9500,114000,1.43,False,
sale,3 Bedroom House,5800000,3,3,922 m²,Roodeberg,Roodeberg,Paarl,https://www.property24.com/for-sale/roodeberg/paarl/western-cape/8617/116980448,,,"WARM FAMILY LIVING WITH EXCEPTIONAL POTENTIAL | ROODEBERG, PAARL
EXCLUSIVE SOLE MANDATE - Proudly marketed by REMAX Infoglobe. Set in ...",,https://images.prop24.com/362886630/Ensure264x153,9500,114000,1.97,False,mandate
sale,2 Bedroom Apartment,7950000,2,2,104 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/116825811,,,"Positioned within Polo Village II on Val de Vie Estate, this beautifully curated north-facing Ambrosia apartment presents a rare ...",,https://images.prop24.com/234072693/Ensure264x153,9500,114000,1.43,False,
